Line,傳送名單數,開信率,點擊率,收益,ROAS,成本,,Cyberbiz,數據,
2026/05/01－連假限定 ✦ 美食犒賞自己,"8,470",30.32%,5.88,0,0.00,"3,388",,會員回購率,57.77%,
2026/05/15－老會員回娘家,"8,506",24.36%,2.08%,"1,980",0.58,"3,402",,新會員下單率,47.18%,
2026/05/20－濃郁南洋系登場 紅咖哩 × 綠咖哩雙主打開吃,"8,504",27.52%,3.89%,"1,935",0.57,"3,402",,ID 綁定數,165,
2026/05/27－一分鐘宅料理－藥膳雞湯 🍲,"8,520",14.66%,9.69%,0,0.00,"3,408",,總 ROAS,7.3,
Total,,,,"3,915",0.29,"13,600",,,,
,,,,,,,,,,
EDM,傳送名單數,開信率,點擊率, GA 收益,ROAS,成本,,,,
2026.05｜限定小確幸/會員日/訂閱制/新品任選,"6,263",15.20%,1.50%,"1,953",1.56,1252.60,,,,
,,,,,,,,,,
漸強,觸及人次,開信率,點擊率,訂單數量,訂單金額,ROAS,成本,保留 / 優化,優化,TA
自動化流程（官網後台數據）,,,,,,,,,,
新客｜免運（LINE）,269,94.05%,40.32%,13,"21,287",197.83,108,,,歡迎訊息
新客｜三天後未下單（LINE）,258,60.47%,29.49%,3,"3,597",34.85,103,,,
新客｜組合包倒數提醒（SMS）,76,-,43.42%,0,0,0.00,76,,,
,,,,,"24,884",86.76,287,,,
,,,,,,,,,,
新客｜剛完成下單－第一步（LINE）,64,68.72%,12.32%,0,0,0,26,,,剛完成下單
提醒解凍方法（EDM）,0,0.00%,0.00%,0,0,0,0,,,
提供創意料理＋一分鐘宅料理頻道＋網紅推薦文章（EDM）,0,0.00%,0.00%,0,0,0,0,,,
剛完成下單｜回購推薦碼（LINE）,0,0.00%,0.00%,0,0,0.00,0,,,
剛完成下單｜推薦定期組（LINE）,0,0.00%,0.00%,0,0,0.00,0,,,
,,,,,0,0.00,26,,,
,,,,,,,,,,
購物車｜未結帳挽回（LINE）,153,44.44%,58.82%,5,"9,392",153.46,61,,,未結帳挽回
發送 SMS（SMS）,101,-,49.50%,2,"1,996",19.76,101,,,
,,,,,"11,388",70.21,162,,,
,,,,,,,,,,
訂閱制｜未加入購物車提醒（LINE）,27,48.15%,7.69%,0,0,0,11,,,常態活動｜定期訂閱
訂閱制｜未加入購物車 3 天（LINE）,3,100.00%,66.67%,0,0,0,1,,,
,,,,,0,0.00,12,,,
,,,,,,,,,,
綁定會員卡｜未綁定的訊息（LINE）,211,64.93%,,,,,84,,,LINE 新好友綁定會員
提供折扣碼（LINE）,0,0,,,,,0,,,
綁定會員｜第二次發訊息（LINE）,265,49.81%,,,,,106,,,
完成綁定的訊息,35,0.00%,,,,,14,,,
,,,,,,,204,,,
,,,,,,,,,,
綁定－發文後提供折扣碼（LINE）,5,0,0.00%,0,0,0,2.0,,,
舊客｜沈睡會員（未開封）－（SMS）,0,0,0.00%,0,0,0,0,,,（100%已經完成購買）
舊客｜開發型客戶－未加車（SMS）,4,0,0.00%,0,0,0,4,,,
,,,,,,,,,,
舊客溝通（官網後台數據）,,,,,,,,,,
2026/05/05－5 月生日,23,43.48%,30.0%,4,"9,872",1073.04,9,,,5 月生日
2026/05/05－潛在忠誠會員,171,33.92%,0.00%,3,"7,606",111.20,68,,,潛在忠誠客戶
2026/05/07－未綁定會員,"8,136",28.15%,0.00%,0,0,0.00,"3,254",,,未綁定客人
2026/05/10－ 開發型客戶,45,48.89%,0.00%,0,0,0.00,18,,,開發型客戶
2026/05/10－沉睡會員｜回鍋組＋贈品,323,22.60%,0.00%,0,0,0.00,129,,,沈睡會員
2026/05/20－忠誠會員,240,45.42%,13.76%,23,"51,178",533.10,96,,,忠誠會員
,,,,,"68,656",14.45,"4,752",,,
,,,,,,,,,,
購物車再行銷,,,,,,,,,,
未加入購物車｜6 hrs－6/30,127,88.98%,22.83%,5,"12,644",248.90,51,,,
,,,,,,,,,,
圖文選單,點擊數,訂單數 ,營收 ,,,,,,,
紅杉宅料理圖文選單－主選單（春夏）new,46,8,"16,509",,,,,,,
忠誠會員｜圖文選單,69,3,"7,875",,,,,,,
未綁定狀態,0,-,-,,,,,,,
