Line,傳送名單數,開信率,點擊率, GA 收益,ROAS,成本,,Cyberbiz,數據,
2026/06/06－限時 𝟰𝟴𝙝𝙧 滿 $1490 即享免運優惠,"8,599",28.18%,5.37%,"9,329",2.71,"3,440",,會員回購率,36.89%,
2026/06/15－老會員回娘家,"8,506",24.36%,2.08%,"4,089",1.20,"3,402",,新會員下單率,52.40%,
2026/06/20－ +89 元，多 1 件,"8,504",27.52%,3.89%,"3,839",1.13,"3,402",,ID 綁定數,241,
2026/06/30－一分鐘宅料理－綠咖哩雞,"8,520",14.66%,9.69%,"2,055",0.60,"3,408",,總 ROAS,10.2,
Total,,,,"19,312",1.41,"13,652",,,,
,,,,,,,,,,
EDM,傳送名單數,開信率,點擊率, GA 收益,ROAS,成本,,,,
2026.06｜限定小確幸/會員日/訂閱制/LINE 加入會員,"6,510",16.40%,0.80%,0,0.00,1302.00,,,,
,,,,,,,,,,
漸強,觸及人次,開信率,點擊率,訂單數量,訂單金額,ROAS,成本,保留 / 優化,優化,TA
自動化流程（官網後台數據）,,,,,,,,,,
新客｜免運（LINE）,498,94.38%,56.17%,21,"33,632",168.84,199,,,歡迎訊息
新客｜三天後未下單（LINE）,458,61.14%,15.00%,3,"4,679",25.54,183,,,
新客｜組合包倒數提醒（SMS）,133,-,50.38%,0,0,0.00,133,,,
,,,,,"38,311",74.33,515,,,
,,,,,,,,,,
新客｜剛完成下單－第一步（LINE）,70,82.86%,10.34%,0,0,0,28,,,剛完成下單
提醒解凍方法（EDM）,0,-%,-%,0,0,0,0,,,
剛完成下單｜回購推薦碼（LINE）,69,57.97%,27.50%,0,0,0.00,28,,,
剛完成下單｜推薦定期組（LINE）,27,51.85%,7.14%,0,0,0.00,11,,,
,,,,,0,0.00,66,,,
,,,,,,,,,,
購物車｜未結帳挽回（LINE）,173,53.18%,56.52%,6,"15,853",229.09,69,,,未結帳挽回
發送 SMS（SMS）,107,-,61.68%,1,"1,226",11.46,107,,,
,,,,,"17,079",96.93,176,,,
,,,,,,,,,,
訂閱制｜未加入購物車提醒（LINE）,33,48.15%,60.61%,0,0,0,13,,,常態活動｜定期訂閱
訂閱制｜未加入購物車 3 天（LINE）,11,100.00%,72.73%,0,0,0,4,,,
,,,,,0,0.00,18,,,
,,,,,,,,,,
綁定會員卡｜未綁定的訊息（LINE）,372,65.86%,,,,,149,,,LINE 新好友綁定會員
提供折扣碼（LINE）,0,0,,,,,0,,,
綁定會員｜第二次發訊息（LINE）,210,52.86%,,,,,84,,,
完成綁定的訊息,27,0.00%,,,,,11,,,
,,,,,,,244,,,
,,,,,,,,,,
綁定－發文後提供折扣碼（LINE）,195,0,47.69%,21,"43,231",554.24,78.0,,,
舊客｜沈睡會員（未開封）－（SMS）,0,0,0.00%,0,0,0,0,,,（因為100%已經完成購買）
舊客｜開發型客戶－未加車（SMS）,3,0,0.00%,0,0,0,3,,,
,,,,,,,,,,
舊客溝通（官網後台數據）,,,,,,,,,,
2026/06/05－6 月生日,35,35.71%,0.0%,0,0,0.00,14,,,5 月生日
2026/06/05－潛在忠誠會員,171,21.05%,5.56%,0,0,0.00,68,,,潛在忠誠客戶
2026/06/10－ 開發型客戶,49,36.73%,0.00%,0,0,0.00,20,,,開發型客戶
2026/06/10－沉睡會員｜回鍋組 II,338,21.89%,0.00%,0,0,0.00,135,,,沈睡會員
2026/06/20－忠誠會員 / 沒有發到推播,1,0.00%,0.00%,8,"20,598",51495.00,0,,,忠誠會員
,,,,,"20,598",10.43,"1,975",,,
,,,,,,,,,,
購物車再行銷,,,,,,,,,,
未加入購物車｜6 hrs－6/30,129,81.40%,17.05%,1,"2,098",40.66,52,,,
,,,,,,,,,,
圖文選單,點擊數,訂單數 ,營收 ,,,,,,,
紅杉宅料理圖文選單－主選單（春夏）new,173,18,"35,022",,,,,,,
忠誠會員｜圖文選單,47,4,"8,036",,,,,,,
未綁定狀態,0,-,-,,,,,,,
