Line,傳送名單數,開信率,點擊率, GA 收益,ROAS,成本,,Cyberbiz,數據,
2026/08/07－中元拜拜組合活動,"9,214",28.77%,8.79%,"9,599",2.60,"3,686",,會員回購率,39.78%,
2026/08/15－老會員回娘家,"9,250",25.61%,2.57%,"6,043",1.63,"3,700",,新會員下單率,50.80%,
2026/08/20－便當開學季,"9,261",25.70%,0%,"6,921",1.87,"3,704",,ID 綁定數,199,
2026/08/26－一分鐘宅料理 ✦ 橙汁雞柳,"9,337",11.76%,16.54%,"4,780",1.28,"3,735",,,,
2026/08/31－中元組合優惠到今天為止,"9,337",23.23%,4.98%,"7,390",1.98,"3,735",,,,
Total,,,,"34,733",2.34,"14,825",,總營收,"151,771",
,,,,,,,,總成本,"17,558",
EDM,傳送名單數,開信率,點擊率, GA 收益,ROAS,成本,,總 ROAS,8.6,
2026.08｜微波爐/會員日/訂閱制/LINE 加入會員/中元組合,"7,108",23.40%,1.20%,0,0.00,1421.60,,,,
,,,,,,,,,,
漸強,觸及人次,開信率,點擊率,訂單數量,訂單金額,ROAS,成本,保留 / 優化,優化,TA
自動化流程（官網後台數據）,,,,,,,,,,
,,,,,,,,,,
08/07｜推播再行銷,15,53.33%,25.00%,0,0,0.00,6,,,推播再行銷
08/20｜推播再行銷,12,41.67%,60.00%,0,0,0.00,5,,,
,,,,,,,,,,
,,,,,0,0.00,11,,,
,,,,,,,,,,
新客｜歡迎訊息（LINE）,809,70.46%,46.02%,18,"30,771",95.09,324,,,歡迎訊息
新客｜剛完成下單（LINE＋EDM）,223,59.19%,30.30%,0,0,0,89,,,剛完成下單
,,,,,,,,,,
購物車｜未結帳挽回（LINE）,132,50.00%,43.94%,1,"1,971",37.33,53,,,未結帳挽回
常態活動｜訂閱制（LINE）,29,62.07%,11.11%,0,0,0,12,,,常態活動｜定期訂閱
綁定會員卡｜未綁定的訊息（LINE）,506,61.46%,0,0,0,0,202,,,LINE 新好友綁定會員
綁定｜提供折扣碼（LINE）,233,0,0,4,"7,573",81.26,93,,,
舊客｜沈睡會員（未開封）－（SMS）,16,0,0.00%,50%,0,0,16,,,
舊客｜開發型客戶－未加車（SMS）,4,0,0.00%,50%,0,0,4,,,
,,,,,,,,,,
,,,,,,,,,,
舊客溝通（官網後台數據）,,,,,,,,,,
瀏覽商品後深度溝通,418,23.68%,7.07%,2,"4,719",28.22,167,,,
2026/08/05－8 月生日,32,28.13%,0.0%,0,0,0.00,13,,,生日
2026/08/05－潛在忠誠會員,194,32.47%,1.59%,0,0,0.00,78,,,潛在忠誠客戶
2026/08/05－ 開發型客戶,68,16.18%,0.00%,0,0,0.00,27,,,開發型客戶
2026/08/10－沉睡會員｜回鍋組 II,361,19.94%,2.78%,0,0,0.00,144,,,沈睡會員
2026/08/17－生日提醒,"9,258",26.81%,1.85%,4,"7,848",,,,,
2026/08/20－忠誠會員,305,39.34%,29.17%,1,"1,890",15.49,122,,,忠誠會員
,,,,,"14,457",37.65,384,,,
購物車再行銷,,,,,,,,,,
購物車｜未結帳挽回 8/7 更新,208,32.21%,14.38%,3,"6,310",75.84,83,,,
加入購物車提醒 8/6 更新,101,59.41%,9.90%,2,"5,423",134.23,40,,,
,,,,,"11,733",,,,,
,,,,,,,,,,
圖文選單,點擊數,訂單數 ,營收 ,,,,,,,
紅杉宅料理圖文選單－主選單（春夏）new,198,17,"42,147",,,,,,,
忠誠會員｜圖文選單,61,4,"8,386",,,,,,,
未綁定狀態,0,-,-,,,,,,,
